wavelength(nm),aw,bbw
818,2.29653596,0.00015311
819,2.316728181,0.000152308
820,2.347831582,0.000151511
821,2.4013029,0.000150719
822,2.454774218,0.000149932
823,2.508245536,0.00014915
824,2.561716854,0.000148374
825,2.615188172,0.000147602
826,2.733184511,0.000146835
827,2.856983463,0.000146073
828,2.980782416,0.000145316
829,3.104581368,0.000144564
830,3.22838032,0.000143816
831,3.340683718,0.000143074
832,3.438069219,0.000142336
833,3.53545472,0.000141602
834,3.632840221,0.000140874
835,3.715401894,0.00014015
836,3.758972405,0.00013943
837,3.802542915,0.000138715
838,3.846113426,0.000138005
839,3.889683937,0.000137299
840,3.933254448,0.000136598
841,3.96797906,0.0001359
842,3.998224735,0.000135208
843,4.02847041,0.000134519
844,4.058716085,0.000133835
845,4.085188368,0.000133156
846,4.106126342,0.00013248
847,4.127064316,0.000131809
848,4.148002291,0.000131142
849,4.168940265,0.000130479
850,4.189878239,0.00012982
851,4.213781387,0.000129166
852,4.239212975,0.000128515
853,4.264644564,0.000127868
854,4.290076152,0.000127226
855,4.316049251,0.000126587
856,4.343291034,0.000125952
857,4.370532817,0.000125322
858,4.3977746,0.000124695
859,4.425016383,0.000124072
860,4.452258166,0.000123453
861,4.480903979,0.000122837
862,4.51153058,0.000122226
863,4.542157182,0.000121618
864,4.572783783,0.000121014
865,4.603410384,0.000120413
866,4.636404967,0.000119817
867,4.669529183,0.000119223
868,4.7026534,0.000118634
869,4.735777616,0.000118048
870,4.775698374,0.000117466
871,4.824454637,0.000116887
872,4.873210899,0.000116312
873,4.921967161,0.00011574
874,4.970723423,0.000115171
875,5.019479686,0.000114606
876,5.069661306,0.000114045
877,5.122570014,0.000113487
878,5.175478723,0.000112932
879,5.228387432,0.000112381
880,5.281296141,0.000111833
881,5.337724338,0.000111288
882,5.395532727,0.000110746
883,5.453341116,0.000110208
884,5.511149505,0.000109673
885,5.568901837,0.000109141
886,5.625443346,0.000108612
887,5.681984854,0.000108087
888,5.738526363,0.000107564
889,5.795067872,0.000107045
890,5.851202412,0.000106529
